TAG-HEX,Класс ,OBIS код ,Атрибут ,Описание ,Примечание
00,3,1.0.1.8.0.255 ,2,"Активная энергия, импорт (A+) (по всем тарифам суммарно)",Текущее значение нарастающим итогом
01,3,1.0.1.8.1.255 ,2,"Активная энергия, импорт (A+) – Тариф 1 ",Текущее значение нарастающим итогом
02,3,1.0.1.8.2.255 ,2,"Активная энергия, импорт (A+) – Тариф 2 ",Текущее значение нарастающим итогом
03,3,1.0.1.8.3.255 ,2,"Активная энергия, импорт (A+) – Тариф 3 ",Текущее значение нарастающим итогом
04,3,1.0.1.8.4.255 ,2,"Активная энергия, импорт (A+) – Тариф 4 ",Текущее значение нарастающим итогом
05,3,1.0.2.8.0.255 ,2,"Активная энергия, экспорт (A-) (по всем тарифам суммарно) ",Текущее значение нарастающим итогом
06,3,1.0.2.8.1.255 ,2,"Активная энергия, экспорт (A-) – Тариф 1 ",Текущее значение нарастающим итогом
07,3,1.0.2.8.2.255 ,2,"Активная энергия, экспорт (A-) – Тариф 2 ",Текущее значение нарастающим итогом
08,3,1.0.2.8.3.255 ,2,"Активная энергия, экспорт (A-) – Тариф 3 ",Текущее значение нарастающим итогом
09,3,1.0.2.8.4.255 ,2,"Активная энергия, экспорт (A-) – Тариф 4 ",Текущее значение нарастающим итогом
0A,3,1.0.3.8.0.255 ,2,"Реактивная энергия, импорт (R+) (по всем тарифам суммарно) ",Текущее значение нарастающим итогом
0B,3,1.0.3.8.1.255 ,2,"Реактивная энергия, импорт (R+) - Тариф 1 ",Текущее значение нарастающим итогом
0C,3,1.0.3.8.2.255 ,2,"Реактивная энергия, импорт (R+) - Тариф 2 ",Текущее значение нарастающим итогом
0D,3,1.0.3.8.3.255 ,2,"Реактивная энергия, импорт (R+) - Тариф 3 ",Текущее значение нарастающим итогом
0E,3,1.0.3.8.4.255 ,2,"Реактивная энергия, импорт (R+) - Тариф 4 ",Текущее значение нарастающим итогом
0F,3,1.0.4.8.0.255 ,2,"Реактивная энергия, экспорт (R-) (по всем тарифам суммарно) ",Текущее значение нарастающим итогом
10,3,1.0.4.8.1.255 ,2,"Реактивная энергия, экспорт (R-) - Тариф 1 ",Текущее значение нарастающим итогом
11,3,1.0.4.8.2.255 ,2,"Реактивная энергия, экспорт (R-) - Тариф 2 ",Текущее значение нарастающим итогом
12,3,1.0.4.8.3.255 ,2,"Реактивная энергия, экспорт (R-) - Тариф 3 ",Текущее значение нарастающим итогом
13,3,1.0.4.8.4.255 ,2,"Реактивная энергия, экспорт (R-) - Тариф 4 ",Текущее значение нарастающим итогом
14,3,1.0.12.7.0.255 ,2,Напряжение ,Для однофазного ПУ
15,3,1.0.32.7.0.255 ,2,Напряжение фазы A,Для трехфазного ПУ
16,3,1.0.52.7.0.255 ,2,Напряжение фазы B,Для трехфазного ПУ
17,3,1.0.72.7.0.255 ,2,Напряжение фазы C,Для трехфазного ПУ
18,3,1.0.124.7.0.255 ,2,Линейное напряжение AB,Для трехфазного ПУ
19,3,1.0.125.7.0.255 ,2,Линейное напряжение BC,Для трехфазного ПУ
1A,3,1.0.126.7.0.255 ,2,Линейное напряжение CA,Для трехфазного ПУ
1B,3,1.0.11.7.0.255 ,2,Ток ,Для однофазного ПУ
1C,3,1.0.91.7.0.255 ,2,Ток нейтрали,Для трехфазного ПУ
1D,3,1.0.31.7.0.255 ,2,Ток фазы A,Для трехфазного ПУ
1E,3,1.0.51.7.0.255 ,2,Ток фазы B,Для трехфазного ПУ
1F,3,1.0.71.7.0.255 ,2,Ток фазы C,Для трехфазного ПУ
20,3,1.0.1.7.0.255 ,2,Активная мощность (P+) (сумма по фазам) ,Выводить со знаком
21,3,1.0.21.7.0.255 ,2,Активная мощность (P+) фазы A ,Выводить со знаком
22,3,1.0.41.7.0.255 ,2,Активная мощность (P+) фазы B ,Выводить со знаком
23,3,1.0.61.7.0.255 ,2,Активная мощность (P+) фазы C ,Выводить со знаком
24,3,1.0.3.7.0.255 ,2,Реактивная мощность (Q+) (сумма по фазам) ,Выводить со знаком
25,3,1.0.23.7.0.255 ,2,Реактивная мощность (Q+) фазы A ,Выводить со знаком
26,3,1.0.43.7.0.255 ,2,Реактивная мощность (Q+) фазы B ,Выводить со знаком
27,3,1.0.63.7.0.255 ,2,Реактивная мощность (Q+) фазы C ,Выводить со знаком
28,3,1.0.14.7.0.255 ,2,Частота сети,
29,8,0.0.1.0.0.255 ,2,Дата и время,
2A,3,0.0.96.9.0.255 ,2,"Температура, С°",
2B,1,0.0.96.128.0.255 ,2,Тест LCD,Только в ручном режиме прокрутки
2C,3,1.0.1.8.0.101 ,2,"Активная энергия, импорт (A+) (по всем тарифам суммарно) ",На конец последнего расчетного периода
